"uid","namedLocation","domainID","siteID","plotID","trapID","weighDate","setDate","collectDate","ovenStartDate","ovenEndDate","fieldSampleID","massSampleID","samplingProtocolVersion","functionalGroup","dryMass","qaDryMass","remarks","measuredBy"
"f749688d-7a96-4325-809d-59dcdb9d8c7b","BART_051.basePlot.ltr","D01","BART","BART_051","BART_051_813","2016-04-25","2015-11-24","2016-04-06","2016-04-21T20:36Z","2016-04-25T13:45Z","NEON.LTR.BART051813.20160406","NEON.LTR.BART051813.20160406.TWI","NEON.DOC.001710vE","Twigs/branches",5.49,"N",NA,"2xX6mTIEU2zzk+aGAURxuwRthSzBo/kx"
"66369f17-ff5c-429b-a3f9-63f3179348a4","BART_051.basePlot.ltr","D01","BART","BART_051","BART_051_813","2016-04-25","2015-11-24","2016-04-06","2016-04-21T20:36Z","2016-04-25T13:45Z","NEON.LTR.BART051813.20160406","NEON.LTR.BART051813.20160406.SDS","NEON.DOC.001710vE","Seeds",0.23,"N",NA,"2xX6mTIEU2zzk+aGAURxuwRthSzBo/kx"
"97f35fc0-b18e-44ab-b22d-012dc9fb3e79","BART_073.basePlot.ltr","D01","BART","BART_073","BART_073_409","2016-04-25","2015-11-24","2016-04-06","2016-04-21T20:36Z","2016-04-25T13:45Z","NEON.LTR.BART073409.20160406","NEON.LTR.BART073409.20160406.NDL","NEON.DOC.001710vE","Needles",1.88,"N",NA,"2xX6mTIEU2zzk+aGAURxuwRthSzBo/kx"
"8683ec80-38f9-4a52-a5bb-065a13aa7f97","BART_073.basePlot.ltr","D01","BART","BART_073","BART_073_409","2016-04-25","2015-11-24","2016-04-06","2016-04-21T20:36Z","2016-04-25T13:45Z","NEON.LTR.BART073409.20160406","NEON.LTR.BART073409.20160406.TWI","NEON.DOC.001710vE","Twigs/branches",3.2,"N",NA,"2xX6mTIEU2zzk+aGAURxuwRthSzBo/kx"
"6396e8d3-14b7-4768-8c2b-f4ae34740609","BART_073.basePlot.ltr","D01","BART","BART_073","BART_073_409","2016-04-25","2015-11-24","2016-04-06","2016-04-21T20:36Z","2016-04-25T13:45Z","NEON.LTR.BART073409.20160406","NEON.LTR.BART073409.20160406.WDY","NEON.DOC.001710vE","Woody material",0.75,"N",NA,"2xX6mTIEU2zzk+aGAURxuwRthSzBo/kx"
"b8ed5647-b2df-4577-8293-30d236c12019","BART_073.basePlot.ltr","D01","BART","BART_073","BART_073_409","2016-04-25","2015-11-24","2016-04-06","2016-04-21T20:36Z","2016-04-25T13:45Z","NEON.LTR.BART073409.20160406","NEON.LTR.BART073409.20160406.OTH","NEON.DOC.001710vE","Other",1.11,"N",NA,"2xX6mTIEU2zzk+aGAURxuwRthSzBo/kx"
"81c066fe-a6a5-4d3d-920b-784986223663","BART_073.basePlot.ltr","D01","BART","BART_073","BART_073_409","2016-04-25","2015-11-24","2016-04-06","2016-04-21T20:36Z","2016-04-25T13:45Z","NEON.LTR.BART073409.20160406","NEON.LTR.BART073409.20160406.SDS","NEON.DOC.001710vE","Seeds",0.11,"N",NA,"2xX6mTIEU2zzk+aGAURxuwRthSzBo/kx"
"cb0b183a-923a-400c-89c5-fd9709eae1bb","BART_073.basePlot.ltr","D01","BART","BART_073","BART_073_409","2016-04-25","2015-11-24","2016-04-06","2016-04-21T20:36Z","2016-04-25T13:45Z","NEON.LTR.BART073409.20160406","NEON.LTR.BART073409.20160406.FLR","NEON.DOC.001710vE","Flowers",0.06,"N",NA,"2xX6mTIEU2zzk+aGAURxuwRthSzBo/kx"
"af9dadf1-0905-480e-9344-276bc9c9b995","BART_073.basePlot.ltr","D01","BART","BART_073","BART_073_409","2016-04-25","2015-11-24","2016-04-06","2016-04-21T20:36Z","2016-04-25T13:45Z","NEON.LTR.BART073409.20160406","NEON.LTR.BART073409.20160406.LVS","NEON.DOC.001710vE","Leaves",0.02,"Y",NA,"2xX6mTIEU2zzk+aGAURxuwRthSzBo/kx"
"120846c6-eb2c-487d-b7ad-09845eb49e69","BART_034.basePlot.ltr","D01","BART","BART_034","BART_034_531","2016-04-25","2015-11-24","2016-04-06","2016-04-21T20:36Z","2016-04-25T13:45Z","NEON.LTR.BART034531.20160406","NEON.LTR.BART034531.20160406.SDS","NEON.DOC.001710vE","Seeds",0.3,"N",NA,"2xX6mTIEU2zzk+aGAURxuwRthSzBo/kx"
